Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
TURKEY,TUR,77.0,80.0,87.415145786208,21.386003395445073,40.126868792277264,31.005806202903365,99.1,6.0,57.0,70.0,0.0,26.0,27.0,34.599999999999994,78.66029090372804,52.56905265740563,74.86835675206125,31.523960334300668,77.17043388669494,10,8,9,3,7.5
UGANDA,UGA,82.99999999999999,66.0,99.77551436100791,6.886416270918699,7.1561996875238805,22.64207710442301,18.5,31.0,51.0,0.0,0.0,53.0,70.0,68.7,73.59168487887445,39.04831805579368,13.450960207153283,69.2261646796591,49.96229758525965,10,4,2,9,6.25
UKRAINE,UKR,79.0,90.0,97.57053721500472,55.02562196585662,34.66327235759072,57.6662226436288,62.8,12.0,71.0,0.0,0.0,33.0,22.0,62.8,85.08773331366947,60.566372032757684,27.81524945424369,46.28652389992992,62.58528244084157,10,9,4,6,7.25
UNITED ARAB EMIRATES,ARE,66.18284381065847,1.0,62.79984242201407,21.11832077693239,6.480683865198816,5.757086326641367,64.5,0.0,38.0,70.0,18.0,41.0,6.0,8.599999999999994,30.108682924671246,28.92936367199718,63.05880513078655,7.5476706406818055,43.05483884863433,4,1,7,1,3.25
UNITED KINGDOM,GBR,18.0,29.0,61.545668135759115,4.088567010345474,18.15582629482053,16.021853312026067,40.9,0.0,48.0,49.0,0.0,5.0,16.0,34.400000000000006,24.08773331366947,30.218220832964096,46.8378391359128,26.952746072517417,33.026286421881025,4,2,6,2,3.5
UNITED STATES OF AMERICA,USA,24.0,66.0,51.93301851141722,5.251076196959549,18.28543984601583,15.816771673079707,47.53333333333333,0.0,64.0,79.0,76.0,45.0,21.0,16.5,47.244072652192514,27.200622701076103,68.65820856845676,18.321339275743025,55.65772103913061,6,1,8,1,4.0
URUGUAY,URY,7.0,0.0,87.32927792059523,16.841549219063015,28.275604201426777,29.829656763898818,12.200000000000003,1.0,39.0,0.0,0.0,18.0,16.0,63.4,3.125987891301246,46.28469038090277,9.80829711380789,44.21522629550682,5.751477914845131,1,7,1,6,3.75
VENEZUELA,VEN,90.0,57.0,87.17167335452899,39.21757007067683,27.240219820992525,100.00000000000001,93.6,0.0,56.0,68.0,46.0,13.0,26.0,85.7,71.73680005899159,50.38566378093478,72.18433609361675,61.53689894180922,71.91263768562031,9,8,8,9,8.5
VIETNAM,VNM,83.26326058346442,32.0,98.83349057447754,5.616764015656069,7.246166758884325,18.522743197230888,44.4,9.0,100.0,74.0,79.0,35.0,24.0,63.3,54.89261883607574,38.50160289320298,71.28059611177459,47.393636991844254,61.33148142245442,7,3,8,6,6.0
ZAMBIA,ZMB,80.0,17.0,98.86716940152908,8.41569208260399,29.099032194957072,33.38104683010687,16.700000000000003,23.0,55.0,0.0,0.0,33.0,62.0,70.6,45.133891021711214,48.89430083339776,13.708275381555172,67.11921827302444,32.78671617546781,6,8,2,9,6.25
ZIMBABWE,ZWE,97.0,48.0,99.37274387752991,14.856398142838447,18.702491216738345,18.93907978397532,3.700000000000003,22.0,60.0,0.0,4.0,93.0,58.0,77.3,69.88191523910872,45.73456315043416,11.392294231694114,69.48847821736881,46.90124922643571,9,7,1,10,6.75
