Country,ISO3,P1: State Legitimacy,Human,avg_gdp_pcap,gdp_pcap_growth_volatility,unemployment,inflation,Exposure to Natural Hazard,Aid Dependency,Flood,Tsunami,Tropical Cyclone,Drought,Communication,Quality of Infrastructure,gp_risk,ec_risk,nd_risk,sc_risk,overall_weights,gp_rating,ec_rating,nd_rating,sc_rating,ov_rating
GREECE,GRC,64.0,34.0,79.14953958328907,17.094559256067054,89.02172161608483,9.783283688560774,100.0,20.0,31.0,87.0,0.0,23.0,22.0,47.7,47.39709096271962,70.76617427263025,80.40418975019367,37.29812902520095,60.365633076987876,6,10,9,4,7.25
GUATEMALA,GTM,66.0,43.0,97.52555319009709,5.402218286589239,9.994739203552864,20.140430827443133,100.0,5.0,51.0,74.0,45.0,36.0,41.0,68.0,53.27110307141838,39.23916242007407,76.36032919784611,57.07196434554186,62.34289709168149,7,4,9,8,7.0
GUINEA,GIN,97.0,50.0,99.69498589679259,37.43799938599719,16.612661185071868,26.659826114740532,8.700000000000003,28.0,52.0,52.0,0.0,8.0,80.0,84.3,70.98877584159408,49.570473123231615,41.37589138572223,82.55960913651222,59.35382598842271,9,8,5,10,8.0
HAITI,HTI,87.0,49.0,99.70532124577889,12.972664470766288,52.69329604884415,32.319813515458364,100.0,60.0,43.0,63.0,72.0,40.0,73.0,95.9,65.96964855277818,60.70865381179379,68.58351745823946,86.6314067967744,66.99664184291596,8,9,8,10,8.75
HONDURAS,HND,69.0,35.0,98.40737832125618,7.947125129841422,17.446000821283153,22.866154997511774,100.0,12.0,51.0,70.0,43.0,44.0,43.0,63.3,50.183369757748906,43.41140436549311,74.04073513351385,55.08373615609258,59.556966922505055,7,5,8,8,7.0
HUNGARY,HUN,61.0,1.0,86.707327882872,10.011290383674968,20.37679445214524,18.24468285076859,93.1,0.0,75.0,0.0,0.0,38.0,17.0,43.8,27.794181925439247,41.11655378369039,35.948635910823796,32.9529127577971,30.99807999019294,4,5,5,4,4.5
ICELAND,ISL,10.0,0.0,56.44025221304495,19.81151334845808,12.741786801091045,19.056842897098363,90.2,0.0,1.0,0.0,0.0,0.0,15.0,21.700000000000003,4.465696987573208,29.274633635315343,22.30625595028132,18.988228189449277,11.475281251239782,1,1,3,1,1.5
INDIA,IND,44.0,64.0,98.73937409015481,6.568692065297091,12.757797832293452,20.693184766581172,54.2,1.0,84.0,81.0,72.0,61.0,50.0,43.2,55.06860602485358,41.1381967733488,74.94856226455732,45.95224601667835,62.879472753384306,7,5,9,6,6.75
INDONESIA,IDN,48.0,62.0,96.7870098586715,1.5152035699473563,15.590237959801016,22.072041491714355,97.4,0.0,81.0,97.0,61.0,36.0,29.0,52.2,55.74802421739751,40.6920321823256,94.30228806504628,42.809984178391524,70.89605639108818,7,4,10,5,6.5
IRAN,IRN,92.0,55.0,94.42443661196596,62.91966702164573,44.38277248457572,40.349165173418065,100.0,1.0,64.0,69.0,18.0,54.0,33.0,55.6,71.52307885402087,65.47116366463406,75.73246971930679,46.45282941515726,73.17695528415999,9,10,9,6,8.5
IRELAND,IRL,7.0,0.0,41.116028818107445,100.0,30.646009740643585,15.848027837819824,100.0,0.0,39.0,58.0,0.0,5.0,23.0,47.3,3.125987891301246,48.57650938404984,64.98506084647767,37.464767910987675,27.430516984698425,1,7,7,5,5.0
ISRAEL,ISR,65.0,41.0,69.3015534831743,4.498395329804984,17.715139566354726,15.335697763377492,58.1,0.0,23.0,62.0,0.0,53.0,19.0,36.0,51.717672770175696,32.780433733562326,54.22819483765875,29.11938495830413,52.70406092172415,7,2,6,3,4.5
